ward,precinct,total,democratic,republican,percentDemocratic
17,36,390,371,15,0.951282051282051
17,37,334,313,18,0.937125748502994
17,38,474,459,13,0.968354430379747
17,39,423,400,17,0.945626477541371
17,40,449,432,15,0.962138084632517
17,41,546,524,16,0.95970695970696
18,1,444,404,30,0.90990990990991
18,2,528,431,93,0.816287878787879
18,3,444,322,121,0.725225225225225
18,4,487,453,25,0.930184804928131
18,5,287,275,9,0.958188153310104
18,6,437,307,121,0.702517162471396
18,7,493,420,64,0.851926977687627
18,8,459,439,17,0.956427015250545
18,9,435,415,18,0.954022988505747
18,10,563,534,22,0.948490230905862
18,11,440,376,58,0.854545454545455
18,12,436,414,18,0.94954128440367
18,13,499,459,35,0.919839679358718
18,14,474,460,12,0.970464135021097
18,15,528,427,92,0.808712121212121
18,16,438,418,19,0.954337899543379
18,17,485,437,40,0.901030927835052
18,18,356,338,15,0.949438202247191
18,19,413,391,19,0.946731234866828
18,20,342,333,7,0.973684210526316
18,21,576,527,41,0.914930555555556
18,22,498,473,21,0.949799196787149
18,23,469,430,31,0.916844349680171
18,24,492,355,131,0.721544715447154
18,25,521,398,120,0.763915547024952
18,26,542,514,23,0.948339483394834
18,27,402,368,29,0.915422885572139
18,28,477,309,164,0.647798742138365
18,29,536,467,66,0.871268656716418
18,30,595,431,153,0.72436974789916
18,31,502,473,25,0.942231075697211
18,32,463,448,13,0.967602591792657
18,33,353,337,13,0.954674220963173
18,34,508,470,37,0.925196850393701
18,35,515,483,26,0.937864077669903
18,36,512,434,72,0.84765625
18,37,508,475,26,0.93503937007874
18,38,420,404,14,0.961904761904762
18,39,409,380,24,0.929095354523227
18,40,515,422,83,0.819417475728155
18,41,546,517,27,0.946886446886447
18,42,426,392,29,0.92018779342723
18,43,423,319,100,0.754137115839243
18,44,455,311,140,0.683516483516484
18,45,489,418,68,0.85480572597137
18,46,546,404,137,0.73992673992674
18,47,363,332,29,0.914600550964187
18,48,334,318,13,0.952095808383234
18,49,313,292,19,0.932907348242812
18,50,375,349,19,0.930666666666667
19,1,467,219,244,0.468950749464668
19,2,678,569,102,0.839233038348083
19,3,472,126,339,0.266949152542373
19,4,649,219,417,0.337442218798151
19,5,588,459,117,0.780612244897959
19,6,603,236,356,0.391376451077944
19,7,492,289,193,0.58739837398374
19,8,613,189,416,0.308319738988581
19,9,396,179,214,0.452020202020202
19,10,642,513,119,0.799065420560748
19,11,547,149,389,0.272394881170018
19,12,488,148,334,0.30327868852459
19,13,596,551,34,0.924496644295302
19,14,579,468,100,0.808290155440414
19,15,741,236,495,0.318488529014845
19,16,546,175,361,0.320512820512821
19,17,459,204,246,0.444444444444444
19,18,510,381,118,0.747058823529412
19,19,670,539,123,0.804477611940298
19,20,425,369,50,0.868235294117647
19,21,582,195,378,0.335051546391753
19,22,576,424,137,0.736111111111111
19,23,559,271,281,0.48479427549195
19,24,405,139,259,0.34320987654321
19,25,509,349,155,0.68565815324165
19,26,532,355,165,0.667293233082707
19,27,504,432,65,0.857142857142857
19,28,598,558,26,0.933110367892977
19,29,614,227,381,0.369706840390879
19,30,545,189,344,0.346788990825688
19,31,489,329,145,0.67280163599182
19,32,495,234,252,0.472727272727273
19,33,606,187,411,0.308580858085809
19,34,474,330,139,0.69620253164557
19,35,477,347,126,0.727463312368973
19,36,726,644,75,0.887052341597796
19,37,510,445,55,0.872549019607843
